twitter_followers,popularity,handle
48652,61,10years
48557,64,wearesheppard
48233,72,kiiara
48124,71,fitzandtantrums
48040,69,conradofficial
47888,62,faithless
47794,67,stevewinwood
47783,64,eiht0eiht
47782,57,smifnwessun
47571,56,shwayze
47546,34,caseyjames
46753,62,officialcult
46479,44,marcalmond
46456,75,lordhuron
46448,79,johnnycash
45936,68,lucenzo
45765,55,lulushouts
45715,86,missdaytona
45387,58,iggy_stooges
45177,73,ub40official
45032,62,zappa
44853,60,marilliononline
44782,70,jordancwdavis
44546,61,vivabananarama
44538,57,indigo_girls
44304,69,sobxrbe
44210,27,crystalbowersox
44174,55,jeruthedamaja
43976,78,brycevine
43273,50,sparksofficial
43138,58,sammykershaw
42580,71,kansasband
42459,60,ginblossoms
42302,65,morgan_evans
42278,68,gbguitar
42264,62,sirah
42236,70,royorbison
42148,52,elliottyamin
42107,77,ericclaptonnews
41854,80,avriljp
41837,72,marcebassy
41802,59,cleveorchestra
41635,58,giorgiomoroder
41471,55,chasebryant
40886,18,fourmusic
40777,47,ymo
40479,70,itstujamo
40417,60,therealtobylove
39995,42,heidinewfield
39590,57,nightranger
39498,62,petertosh
39341,49,laguns
38664,52,lbuckingham
38630,64,alexanderclare
38134,53,wingertheband
38044,74,omimusiconline
37776,24,amanda__brown
37626,66,lancomusic
36959,67,carlysimonhq
36900,52,thesheepdogs
36790,65,theb52s
36631,45,newsongonline
36090,68,the_proclaimers
35924,67,twistedsisterny
35924,56,ducksaucenyc
35768,66,benatargiraldo
35635,75,official_enya
35587,58,annemurray1
35583,48,petermurphyinfo
35281,55,blegit72
35281,49,gaalbright
35272,89,gaga_japan
35199,65,phoeberyan
35154,71,genesis_band
35122,81,deanlewismusic
35115,45,iamfefemusic
34636,37,charlibaltimore
34486,59,therealmix
34328,34,cdjmusic
34262,53,richardhawley
34201,67,themonkees
33920,36,lisafischersing
33818,72,eurythmicsultim
33459,59,toddrundgren
33392,67,youngrobstone
33126,35,sundancehead
32777,54,susanboyle
32380,58,kevinrudolf
32241,67,mikkyekko
32140,53,thecrystalgayle
31753,51,sokothecat
31597,45,younggreatness7
31199,66,mrwongo
30973,51,lostprophets
30673,44,joshbkelley
30084,47,thomasdolby
30051,61,ebtg
29979,66,humanleaguehq
29804,63,thecataracs
29727,57,thebreeders
29661,35,thefeelin
29659,23,thefeelin
29351,59,mavisstaples
29334,59,akadrjohn
29149,61,bellamybrothers
29123,58,suzyv
29068,75,willy_william
28603,38,mikihowardlive
28338,71,funkindotcom
28241,64,imeddiemoney
28168,85,bastilledan
28087,69,crowdedhousehq
28025,74,thescoremusic
27991,47,therealesthero
27924,59,markking
27492,71,bonnietofficial
27376,66,thefratellis
27240,61,chriswillistwit
27225,66,extremeband
27191,57,dokken
27007,52,itshellogoodbye
26867,49,ericburdon
26814,60,pfurs
26503,43,vvbrown
26416,54,crystalmethod
26179,53,cartel
26030,49,tricktrickgs
25988,48,jomersamarley
25944,22,devicetheband
25907,5,sawdoctors
25742,40,billyfgibbons
25551,64,thepharcyde
25451,59,savingabel
25442,45,iheartmemphis
25405,43,hadoukenuk
25328,56,squeezeofficial
25293,57,ultravoxuk
25124,65,quietriot
25118,55,maxipriest
25089,68,realcultureclub
24852,63,gabrielleuk
24625,49,yandtrocks
24336,48,hurricanechris6
23880,61,sharonjones
23627,55,whiteymorgan
23472,70,kingofcool
